,endTime,date_time,time_difference,days,month
198,6/9/2022 7:13,2022-06-09 07:13:00,0 days 00:02:00,9.0,6.0
199,6/9/2022 7:13,2022-06-09 07:13:00,0 days 00:00:00,9.0,6.0
200,6/9/2022 7:15,2022-06-09 07:15:00,0 days 00:02:00,9.0,6.0
201,6/9/2022 7:19,2022-06-09 07:19:00,0 days 00:04:00,9.0,6.0
202,6/9/2022 7:21,2022-06-09 07:21:00,0 days 00:02:00,9.0,6.0
203,6/9/2022 7:22,2022-06-09 07:22:00,0 days 00:01:00,9.0,6.0
204,6/9/2022 7:27,2022-06-09 07:27:00,0 days 00:05:00,9.0,6.0
205,6/9/2022 7:29,2022-06-09 07:29:00,0 days 00:02:00,9.0,6.0
206,6/9/2022 7:29,2022-06-09 07:29:00,0 days 00:00:00,9.0,6.0
207,6/9/2022 7:32,2022-06-09 07:32:00,0 days 00:03:00,9.0,6.0
208,6/9/2022 7:37,2022-06-09 07:37:00,0 days 00:05:00,9.0,6.0
209,6/9/2022 7:41,2022-06-09 07:41:00,0 days 00:04:00,9.0,6.0
210,6/9/2022 7:43,2022-06-09 07:43:00,0 days 00:02:00,9.0,6.0
211,6/9/2022 7:43,2022-06-09 07:43:00,0 days 00:00:00,9.0,6.0
212,6/9/2022 7:48,2022-06-09 07:48:00,0 days 00:05:00,9.0,6.0
213,6/9/2022 7:51,2022-06-09 07:51:00,0 days 00:03:00,9.0,6.0
214,6/9/2022 7:52,2022-06-09 07:52:00,0 days 00:01:00,9.0,6.0
215,6/9/2022 7:53,2022-06-09 07:53:00,0 days 00:01:00,9.0,6.0
216,6/9/2022 7:56,2022-06-09 07:56:00,0 days 00:03:00,9.0,6.0
217,6/9/2022 7:58,2022-06-09 07:58:00,0 days 00:02:00,9.0,6.0
218,6/9/2022 8:02,2022-06-09 08:02:00,0 days 00:04:00,9.0,6.0
219,6/9/2022 8:06,2022-06-09 08:06:00,0 days 00:04:00,9.0,6.0
220,6/9/2022 8:10,2022-06-09 08:10:00,0 days 00:04:00,9.0,6.0
221,6/9/2022 8:15,2022-06-09 08:15:00,0 days 00:05:00,9.0,6.0
222,6/9/2022 8:15,2022-06-09 08:15:00,0 days 00:00:00,9.0,6.0
223,6/9/2022 8:18,2022-06-09 08:18:00,0 days 00:03:00,9.0,6.0
224,6/9/2022 8:19,2022-06-09 08:19:00,0 days 00:01:00,9.0,6.0
225,6/9/2022 8:21,2022-06-09 08:21:00,0 days 00:02:00,9.0,6.0
226,6/9/2022 8:25,2022-06-09 08:25:00,0 days 00:04:00,9.0,6.0
227,6/9/2022 8:28,2022-06-09 08:28:00,0 days 00:03:00,9.0,6.0
228,6/9/2022 8:28,2022-06-09 08:28:00,0 days 00:00:00,9.0,6.0
229,6/9/2022 8:28,2022-06-09 08:28:00,0 days 00:00:00,9.0,6.0
230,6/9/2022 8:31,2022-06-09 08:31:00,0 days 00:03:00,9.0,6.0
231,6/9/2022 8:34,2022-06-09 08:34:00,0 days 00:03:00,9.0,6.0
232,6/9/2022 8:36,2022-06-09 08:36:00,0 days 00:02:00,9.0,6.0
233,6/9/2022 8:36,2022-06-09 08:36:00,0 days 00:00:00,9.0,6.0
234,6/9/2022 8:39,2022-06-09 08:39:00,0 days 00:03:00,9.0,6.0
235,6/9/2022 8:46,2022-06-09 08:46:00,0 days 00:07:00,9.0,6.0
236,6/9/2022 8:49,2022-06-09 08:49:00,0 days 00:03:00,9.0,6.0
237,6/9/2022 8:53,2022-06-09 08:53:00,0 days 00:04:00,9.0,6.0
238,6/9/2022 8:54,2022-06-09 08:54:00,0 days 00:01:00,9.0,6.0
239,6/9/2022 8:57,2022-06-09 08:57:00,0 days 00:03:00,9.0,6.0
240,6/9/2022 8:58,2022-06-09 08:58:00,0 days 00:01:00,9.0,6.0
241,6/9/2022 9:02,2022-06-09 09:02:00,0 days 00:04:00,9.0,6.0
242,6/9/2022 9:04,2022-06-09 09:04:00,0 days 00:02:00,9.0,6.0
243,6/9/2022 9:09,2022-06-09 09:09:00,0 days 00:05:00,9.0,6.0
244,6/9/2022 9:12,2022-06-09 09:12:00,0 days 00:03:00,9.0,6.0
245,6/9/2022 9:15,2022-06-09 09:15:00,0 days 00:03:00,9.0,6.0
246,6/9/2022 9:17,2022-06-09 09:17:00,0 days 00:02:00,9.0,6.0
247,6/9/2022 9:22,2022-06-09 09:22:00,0 days 00:05:00,9.0,6.0
248,6/9/2022 9:24,2022-06-09 09:24:00,0 days 00:02:00,9.0,6.0
249,6/9/2022 9:28,2022-06-09 09:28:00,0 days 00:04:00,9.0,6.0
250,6/9/2022 9:32,2022-06-09 09:32:00,0 days 00:04:00,9.0,6.0
251,6/9/2022 9:35,2022-06-09 09:35:00,0 days 00:03:00,9.0,6.0
252,6/9/2022 9:37,2022-06-09 09:37:00,0 days 00:02:00,9.0,6.0
253,6/9/2022 9:40,2022-06-09 09:40:00,0 days 00:03:00,9.0,6.0
254,6/9/2022 9:43,2022-06-09 09:43:00,0 days 00:03:00,9.0,6.0
255,6/9/2022 9:46,2022-06-09 09:46:00,0 days 00:03:00,9.0,6.0
256,6/9/2022 9:50,2022-06-09 09:50:00,0 days 00:04:00,9.0,6.0
257,6/9/2022 9:53,2022-06-09 09:53:00,0 days 00:03:00,9.0,6.0
258,6/9/2022 10:00,2022-06-09 10:00:00,0 days 00:07:00,9.0,6.0
259,6/9/2022 10:04,2022-06-09 10:04:00,0 days 00:04:00,9.0,6.0
260,6/9/2022 10:08,2022-06-09 10:08:00,0 days 00:04:00,9.0,6.0
261,6/9/2022 10:12,2022-06-09 10:12:00,0 days 00:04:00,9.0,6.0
262,6/9/2022 10:15,2022-06-09 10:15:00,0 days 00:03:00,9.0,6.0
263,6/9/2022 10:18,2022-06-09 10:18:00,0 days 00:03:00,9.0,6.0
264,6/9/2022 10:21,2022-06-09 10:21:00,0 days 00:03:00,9.0,6.0
265,6/9/2022 10:24,2022-06-09 10:24:00,0 days 00:03:00,9.0,6.0
266,6/9/2022 10:28,2022-06-09 10:28:00,0 days 00:04:00,9.0,6.0
267,6/9/2022 10:32,2022-06-09 10:32:00,0 days 00:04:00,9.0,6.0
268,6/9/2022 10:35,2022-06-09 10:35:00,0 days 00:03:00,9.0,6.0
269,6/9/2022 10:43,2022-06-09 10:43:00,0 days 00:08:00,9.0,6.0
270,6/9/2022 10:47,2022-06-09 10:47:00,0 days 00:04:00,9.0,6.0
271,6/9/2022 11:02,2022-06-09 11:02:00,0 days 00:15:00,9.0,6.0
272,6/9/2022 11:06,2022-06-09 11:06:00,0 days 00:04:00,9.0,6.0
273,6/9/2022 11:11,2022-06-09 11:11:00,0 days 00:05:00,9.0,6.0
274,6/9/2022 11:11,2022-06-09 11:11:00,0 days 00:00:00,9.0,6.0
275,6/9/2022 12:52,2022-06-09 12:52:00,0 days 01:41:00,9.0,6.0
276,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
277,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
278,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
279,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
280,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
281,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
282,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
283,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
284,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
285,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
286,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
287,6/9/2022 12:52,2022-06-09 12:52:00,0 days 00:00:00,9.0,6.0
288,6/9/2022 12:56,2022-06-09 12:56:00,0 days 00:04:00,9.0,6.0
289,6/9/2022 13:00,2022-06-09 13:00:00,0 days 00:04:00,9.0,6.0
290,6/9/2022 13:03,2022-06-09 13:03:00,0 days 00:03:00,9.0,6.0
291,6/9/2022 13:03,2022-06-09 13:03:00,0 days 00:00:00,9.0,6.0
292,6/9/2022 13:03,2022-06-09 13:03:00,0 days 00:00:00,9.0,6.0
293,6/9/2022 13:06,2022-06-09 13:06:00,0 days 00:03:00,9.0,6.0
294,6/9/2022 13:11,2022-06-09 13:11:00,0 days 00:05:00,9.0,6.0
295,6/9/2022 13:15,2022-06-09 13:15:00,0 days 00:04:00,9.0,6.0
296,6/9/2022 13:18,2022-06-09 13:18:00,0 days 00:03:00,9.0,6.0
297,6/9/2022 13:20,2022-06-09 13:20:00,0 days 00:02:00,9.0,6.0
298,6/9/2022 13:24,2022-06-09 13:24:00,0 days 00:04:00,9.0,6.0
299,6/9/2022 13:29,2022-06-09 13:29:00,0 days 00:05:00,9.0,6.0
300,6/9/2022 13:40,2022-06-09 13:40:00,0 days 00:11:00,9.0,6.0
301,6/9/2022 18:42,2022-06-09 18:42:00,0 days 05:02:00,9.0,6.0
302,6/9/2022 20:04,2022-06-09 20:04:00,0 days 01:22:00,9.0,6.0
303,6/9/2022 20:04,2022-06-09 20:04:00,0 days 00:00:00,9.0,6.0
304,6/9/2022 20:04,2022-06-09 20:04:00,0 days 00:00:00,9.0,6.0
305,6/9/2022 20:04,2022-06-09 20:04:00,0 days 00:00:00,9.0,6.0
306,6/9/2022 20:08,2022-06-09 20:08:00,0 days 00:04:00,9.0,6.0
307,6/9/2022 20:13,2022-06-09 20:13:00,0 days 00:05:00,9.0,6.0
308,6/9/2022 20:16,2022-06-09 20:16:00,0 days 00:03:00,9.0,6.0
309,6/9/2022 20:20,2022-06-09 20:20:00,0 days 00:04:00,9.0,6.0
310,6/9/2022 20:24,2022-06-09 20:24:00,0 days 00:04:00,9.0,6.0
311,6/9/2022 20:28,2022-06-09 20:28:00,0 days 00:04:00,9.0,6.0
312,6/9/2022 20:31,2022-06-09 20:31:00,0 days 00:03:00,9.0,6.0
313,6/9/2022 20:35,2022-06-09 20:35:00,0 days 00:04:00,9.0,6.0
314,6/9/2022 20:38,2022-06-09 20:38:00,0 days 00:03:00,9.0,6.0
315,6/9/2022 20:42,2022-06-09 20:42:00,0 days 00:04:00,9.0,6.0
316,6/9/2022 20:46,2022-06-09 20:46:00,0 days 00:04:00,9.0,6.0
